"";"Kingdom";"Phylum";"Class";"Order";"Lineage";"Clade";"Tribe"
"Otu00107";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betVII";"betVII-A";"Janb"
"Otu00108";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Methylococcales";"Methylococcaceae";"Methylococcaceae_unclassified";"Methylococcaceae_unclassified"
"Otu00109";"Bacteria";"Cyanobacteria";"Melainabacteria";"Obscuribacterales";"Obscuribacterales_unclassified";"";""
"Otu00110";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"alfII";"alfII-A";"Brev"
"Otu00111";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"bacI";"bacI_unclassified";"bacI_unclassified"
"Otu00112";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Rickettsiales_Incertae_Sedis";"Candidatus_Captivus";""
"Otu00113";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Nevskiaceae";"Nevskia";""
"Otu00114";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"betI-A_unclassified"
"Otu00115";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"alfI";"alfI-B";"alfI-B_unclassified"
"Otu00116";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Alphaproteobacteria_unclassified";"Alphaproteobacteria_unclassified";"";""
"Otu00117";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"gamII";"gamII-A";"gamII-A1"
"Otu00118";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Methylococcales";"Methylococcaceae";"Methylococcaceae_unclassified";"Methylococcaceae_unclassified"
"Otu00119";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Alphaproteobacteria_unclassified";"Alphaproteobacteria_unclassified";"";""
"Otu00120";"Bacteria";"Planctomycetes";"Planctomycetacia";"Planctomycetales";"Planctomycetaceae";"Planctomyces";""
"Otu00121";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Oligoflexales";"Oligoflexales_unclassified";"";""
"Otu00122";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillaceae";"Magnetospirillum";""
"Otu00123";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00124";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Methylococcales";"Methylococcaceae";"Methylococcaceae_unclassified";"Methylococcaceae_unclassified"
"Otu00125";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betVII";"betVII-B";"betVII-B1"
"Otu00126";"Bacteria";"Elusimicrobia";"Elusimicrobia";"Lineage_IV";"Lineage_IV_unclassified";"";""
"Otu00127";"Bacteria";"Saccharibacteria";"Saccharibacteria_unclassified";"Saccharibacteria_unclassified";"Saccharibacteria_unclassified";"";""
"Otu00128";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Alphaproteobacteria_unclassified";"Alphaproteobacteria_unclassified";"";""
"Otu00129";"Bacteria";"Planctomycetes";"Planctomycetes_unclassified";"Planctomycetes_unclassified";"Planctomycetes_unclassified";"";""
"Otu00130";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"betI-A_unclassified"
"Otu00131";"Bacteria";"Candidate_division_OP3";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"";""
"Otu00132";"Bacteria";"Actinobacteria";"Actinobacteria";"Acidimicrobiales";"acIV";"acIV-D";"Iamia"
"Otu00133";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadales_unclassified";"";""
"Otu00134";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00135";"Bacteria";"Chlamydiae";"Chlamydiae";"Chlamydiales";"Chlamydiales_unclassified";"";""
"Otu00136";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Oligoflexales";"Oligoflexales_unclassified";"";""
"Otu00137";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"bacI";"bacI-B";"bacI-B1"
"Otu00138";"Bacteria";"Cyanobacteria";"Cyanobacteria";"SubsectionIII";"FamilyI";"";""
"Otu00139";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"alfVII";"alfVII_unclassified";"alfVII_unclassified";"alfVII_unclassified"
"Otu00140";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu00141";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI_unclassified";"betI_unclassified"
"Otu00142";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"Asticcacaulis";""
"Otu00143";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"bacVI";"bacVI_unclassified";"bacVI_unclassified"
"Otu00144";"Bacteria";"WD272";"WD272_unclassified";"WD272_unclassified";"WD272_unclassified";"";""
"Otu00145";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betVII";"betVII-B";"betVII-B1"
"Otu00146";"Bacteria";"Acidobacteria";"Acidobacteria";"Subgroup_3";"Subgroup_3_unclassified";"";""
"Otu00147";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"bacI";"bacI-B";"bacI-B1"
"Otu00148";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"alfII";"alfII-A";"Brev"
"Otu00149";"Bacteria";"Parcubacteria";"Parcubacteria_unclassified";"Parcubacteria_unclassified";"Parcubacteria_unclassified";"";""
"Otu00150";"Bacteria";"Planctomycetes";"Pla4_lineage";"Pla4_lineage_unclassified";"Pla4_lineage_unclassified";"";""
"Otu00151";"Bacteria";"WD272";"WD272_unclassified";"WD272_unclassified";"WD272_unclassified";"";""
"Otu00152";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00153";"Bacteria";"Acidobacteria";"Acidobacteria";"Acidobacteriales";"Acidobacteriaceae_";"Candidatus_Koribacter";""
